CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
280654	1884.84302	19040460172	0.67276	0.00009	1884.73572	0.10730	4068	1	0.69485	0.00935	1	0.65286	0.01081	1	0.67386	0.01008	1	0.33654	0.53573	21.52474	1.04771	1	0.60062	0.55089	22.26374	1.04771	1	-0.04024	-0.00911	0.63899	0.00429	1	0.02367	-0.01186	0.62504	0.00448	1	0.52240	0.53426	0	0
280655	1884.85010	19040531416	0.67280	0.00110	1884.73572	0.11438	4068	1	0.69476	0.01770	1	0.65213	0.01892	1	0.67344	0.01831	1	0.33658	0.53578	21.46810	1.03990	1	0.60057	0.55087	22.45264	1.03990	1	-0.04066	-0.00925	0.64554	0.00425	1	0.02362	-0.01198	0.62386	0.00442	1	0.52240	0.53426	0	
280656	1884.85657	19040595745	0.67221	0.00329	1884.73572	0.12085	4068	1	0.66659	0.04293	1	0.65666	0.04259	1	0.66162	0.04276	1	0.33650	0.53571	21.11148	1.03990	1	0.60061	0.55139	23.03341	1.03990	1	-0.04066	-0.00925	0.64554	0.00425	1	0.02362	-0.01198	0.62386	0.00448	1	0.52240	0.53426	0	
280657	1884.86316	19040662262	0.67230	0.00477	1884.73572	0.12744	4068	1	0.66459	0.05885	1	0.68361	0.00685	1	0.67410	0.03285	1	0.33660	0.53590	21.33249	1.03990	1	0.60057	0.55157	22.93793	1.03990	1	-0.04066	-0.00925	0.64554	0.00426	1	0.02362	-0.01198	0.62386	0.00447	1	0.52240	0.53426	0	
280658	1884.87012	19040730988	0.67241	0.00572	1884.73572	0.13440	4068	1	0.66452	0.05081	1	0.68455	-0.00131	1	0.67453	0.02475	1	0.33654	0.53585	21.15032	1.04771	1	0.60057	0.55155	22.91769	1.04771	1	-0.04180	-0.00950	0.66288	0.00421	1	0.02367	-0.01205	0.62504	0.00447	1	0.52240	0.53426	0	START_TRIAL 0
280659	1884.87659	19040795748	0.67285	0.00686	1884.73572	0.14087	4068	1	0.68932	0.04911	1	0.67496	0.01255	1	0.68214	0.03083	1	0.33638	0.53598	20.95723	1.05551	1	0.60041	0.55161	23.15522	1.05551	1	-0.04180	-0.00950	0.66288	0.00424	1	0.02367	-0.01205	0.62504	0.00445	1	0.52240	0.53426	0	
280660	1884.88379	19040868049	0.67316	0.00709	1884.73572	0.14807	4068	1	0.68297	0.00360	1	0.67669	0.02038	1	0.67983	0.01199	1	0.33622	0.53609	20.67232	1.06332	1	0.60050	0.55152	22.87409	1.06332	1	-0.04180	-0.00950	0.66288	0.00420	1	0.02367	-0.01205	0.62504	0.00443	1	0.52240	0.53426	0	
280661	1884.89038	19040934163	0.67343	0.00729	1884.73572	0.15466	4068	1	0.68297	0.00360	1	0.67669	0.02038	1	0.67983	0.01199	1	0.33628	0.53619	21.19198	1.06332	1	0.60052	0.55149	22.78042	1.06332	1	-0.04066	-0.00934	0.64554	0.00421	1	0.02367	-0.01205	0.62504	0.00444	1	0.52240	0.53426	0	
280662	1884.89661	19040996479	0.67457	0.00886	1884.73572	0.16089	4068	1	0.71420	0.05881	1	0.68939	0.03435	1	0.70180	0.04658	1	0.33754	0.53651	21.82190	1.05551	1	0.60141	0.55231	23.00536	1.05551	1	-0.04066	-0.00934	0.64554	0.00413	1	0.02367	-0.01205	0.62504	0.00447	1	0.52240	0.53426	0	
280663	1884.90332	19041063062	0.67671	0.01003	1884.73572	0.16760	4068	1	0.73490	0.03994	1	0.72583	0.03874	1	0.73037	0.03934	1	0.33824	0.53666	21.23396	1.04771	1	0.60215	0.55287	22.78520	1.04771	1	-0.04066	-0.00934	0.64554	0.00419	1	0.02367	-0.01205	0.62504	0.00458	1	0.52240	0.53426	0	
280664	1884.91028	19041133539	0.67865	0.01153	1884.73572	0.17456	4068	1	0.73457	0.04805	1	0.72364	0.05293	1	0.72910	0.05049	1	0.33863	0.53680	21.66161	1.03990	1	0.60242	0.55274	22.41859	1.03354	1	-0.04008	-0.00940	0.64252	0.00413	1	0.02319	-0.01192	0.60638	0.00452	1	0.52240	0.53426	0	
280665	1884.91687	19041199150	0.68257	0.01328	1884.73572	0.18115	4068	1	0.78684	0.07613	1	0.78993	0.04502	1	0.78838	0.06058	1	0.33955	0.53711	21.29317	1.03354	1	0.60325	0.55294	22.46915	1.02718	1	-0.04008	-0.00940	0.64252	0.00427	1	0.02319	-0.01192	0.60638	0.00446	1	0.52240	0.53426	0	
280666	1884.92383	19041268837	0.70517	0.03713	1884.73572	0.18115	4068	0	0.78151	0.09038	1	0.79224	0.05976	1	0.78687	0.07507	1	0.33943	0.53715	21.18619	1.02718	1	0.60339	0.55291	22.32207	1.02082	1	-0.04008	-0.00940	0.64252	0.00432	1	0.02319	-0.01192	0.60638	0.00443	1	0.52240	0.53426	0	
280667	1884.93042	19041333965	0.74456	0.06596	1884.73572	0.18115	4068	0	0.77989	0.11022	1	0.78799	0.07935	1	0.78394	0.09478	1	0.33954	0.53744	21.69939	1.00755	1	0.60341	0.55307	22.46064	1.00119	1	-0.04008	-0.00940	0.64252	0.00430	1	0.02319	-0.01192	0.60638	0.00448	1	0.52240	0.53426	0	
280668	1884.93713	19041401272	0.76066	0.08370	1884.73572	0.18115	4068	0	0.79188	0.13784	1	0.79386	0.10055	1	0.79287	0.11919	1	0.33925	0.53726	21.05211	0.98792	1	0.60312	0.55332	23.06566	0.98792	1	-0.04008	-0.00940	0.64252	0.00425	1	0.02319	-0.01192	0.60638	0.00446	1	0.52240	0.53426	0	
280669	1884.94397	19041469314	0.78554	0.11921	1884.73572	0.18115	4068	0	0.77700	0.17123	1	0.78259	0.11609	1	0.77980	0.14366	1	0.33914	0.53742	21.16236	0.97465	1	0.60298	0.55325	22.92168	0.97465	1	-0.04008	-0.00940	0.64252	0.00422	1	0.02319	-0.01192	0.60638	0.00445	1	0.52240	0.53426	0	
280670	1884.95105	19041540093	0.78302	0.12986	1884.73572	0.18115	4068	0	0.77700	0.17123	1	0.78398	0.10979	1	0.78049	0.14051	1	0.33899	0.53756	20.97126	0.97465	1	0.60299	0.55329	22.66112	0.98101	1	-0.04069	-0.00959	0.64907	0.00433	1	0.02365	-0.01227	0.62219	0.00447	1	0.52240	0.53426	0	
280671	1884.95728	19041603532	0.78518	0.12769	1884.73572	0.18115	4068	0	0.78263	0.15121	1	0.79641	0.09549	1	0.78952	0.12335	1	0.33880	0.53762	21.28002	0.99428	1	0.60260	0.55335	22.68235	1.00064	1	-0.04069	-0.00959	0.64907	0.00423	1	0.02365	-0.01227	0.62219	0.00452	1	0.52240	0.53426	0	
280672	1884.96338	19041664392	0.78555	0.11940	1884.94397	0.01941	4069	1	0.77715	0.10942	1	0.79612	0.07960	1	0.78664	0.09451	1	0.33874	0.53758	21.26274	1.01391	1	0.60252	0.55338	22.71178	1.02027	1	-0.04069	-0.00959	0.64907	0.00425	1	0.02365	-0.01227	0.62219	0.00457	1	0.52240	0.53426	0	
280673	1884.97070	19041737793	0.78582	0.11378	1884.94397	0.02673	4069	1	0.77766	0.10303	1	0.79612	0.07960	1	0.78689	0.09132	1	0.33871	0.53758	21.30192	1.02027	1	0.60252	0.55340	22.54389	1.02027	1	-0.04069	-0.00959	0.64907	0.00424	1	0.02285	-0.01192	0.60220	0.00459	1	0.52240	0.53426	0	
280674	1884.97717	19041802346	0.78488	0.11172	1884.94397	0.03320	4069	1	0.78615	0.13346	1	0.77429	0.06935	1	0.78022	0.10141	1	0.33812	0.53793	21.00167	1.00700	1	0.60236	0.55366	22.78659	1.00064	1	-0.04069	-0.00959	0.64907	0.00432	1	0.02285	-0.01192	0.60220	0.00455	1	0.52240	0.53426	0	
280675	1884.98413	19041871789	0.78281	0.11274	1884.94397	0.04016	4069	1	0.77407	0.12409	1	0.76670	0.11366	1	0.77038	0.11888	1	0.33814	0.53823	20.90693	0.98737	1	0.60234	0.55383	22.43753	0.98101	1	-0.04069	-0.00959	0.64907	0.00440	1	0.02285	-0.01192	0.60220	0.00463	1	0.52240	0.53426	0	
