"audio","background","canvas_backend","central_fixation","cfg_temp_dir","clock_backend","color_backend","condition","config_path","count_calibration_pygaze_init","count_check_group_selection","count_define_logging","count_experiment","count_fixation","count_instruction_screen","count_latin_square_group_select","count_logsleep","count_new_logger","count_outro_screen","count_pause","count_preprocess_videos","count_preview","count_pygaze_start_recording","count_pygaze_stop_recording","count_readme","count_sentence","count_trial_loop","count_trial_sequence","count_utils","d","d_to_continue","datetime","delay_logsleep","description","disable_garbage_collection","duration","end_time","experiment_file","experiment_path","fixdot_color","fixdot_posx","fixdot_posy","fixdot_style","fixtime","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","index","inst","inst_cnt","inst_font","inst_font_col","inst_font_size","inst_posx","inst_posy","key","keyboard_backend","latin_group","latin_group_name","live_row","live_row_trial_loop","location_cue","logfile","minpause","mouse_backend","opensesame_codename","opensesame_version","pause_cntr","pause_font","pause_font_col","pause_font_size","pause_posx","pause_posy","pause_text","pausetimeout","posx_sstimBL","posx_sstimBR","posx_sstimTL","posx_sstimTR","posy_sstimBL","posy_sstimBR","posy_sstimTL","posy_sstimTR","prevtime","repeat_cycle","round_decimals","sampler_backend","sentence","sentenceoffset","sound_buf_size","sound_channels","sound_duration_ms","sound_freq","sound_sample_size","src","sstimBL","sstimBR","sstimTL","sstimTR","sstim_bl","sstim_br","sstim_tl","sstim_tr","start","stimulus_name","subject_nr","subject_parity","target_cue_timing","target_pos","tcur","temp_dir","time_calibration_pygaze_init","time_check_group_selection","time_define_logging","time_experiment","time_fixation","time_instruction_screen","time_latin_square_group_select","time_logsleep","time_new_logger","time_outro_screen","time_pause","time_preprocess_videos","time_preview","time_pygaze_start_recording","time_pygaze_stop_recording","time_readme","time_sentence","time_trial_loop","time_trial_sequence","time_utils","title","tmin","verb_cue","verb_cue_timing","video_file","width"
"09_cello.ogg","white","legacy","True","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","legacy","legacy","static","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\config.yml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.37688964201773","50","Fri Aug  9 14:34:52 2024","20","The main experiment item","False","4052.000045776367","131464","pygame-experiment-visual-world-paradigm.osexp","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm","black","0","0","medium-open","1000","False","mono","False","32","no","black","no","yes","1080","9","Look at the screen and listen carefully. press any key to continue","True","mono","black","32","None","None","w","legacy","1","wolf","0","0","musical class","C:/Users/yarbus/Desktop/Team Cat/visual-word-paradigm/trials/subject-1.csv","2000","legacy","Melodramatic Milgram","4.0.13","False","mono","black","32","None","380","Pause. Look at the fixation dot in order to continue.","30000","-480","480","-480","480","270","270","-270","-270","1000","0","2","legacy","During musical class, the girl played the cello. ","500","1024","2","3.552000045776367","48000","-16","C:\Users\yarbus\AppData\Local\Temp\tmpg7y5i0u_.opensesame_pool\09_cello.ogg","soccer","brick","cello","pencilsharpener","soccer","brick","cello","pencilsharpener","experiment","cello","1","odd","2260","TL","140897.0","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","6176","127419","134626","434","134626","596","127419","NA","148666","NA","140842","557","135658","131482","NA","NA","136722","131465","131471","471","experiment-visual-word-paradigm","142897.0","played","1856","wolf.mp4","1920"
"36_marathon.ogg","white","legacy","True","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","legacy","legacy","motion","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\config.yml","0","0","1","0","1","0","0","1","1","0","1","0","1","1","1","0","1","0","1","0","43.763919385722254","50","Fri Aug  9 14:34:52 2024","20","The main experiment item","False","3835.9999656677246","131464","pygame-experiment-visual-world-paradigm.osexp","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm","black","0","0","medium-open","1000","False","mono","False","32","no","black","no","yes","1080","36","Look at the screen and listen carefully. press any key to continue","True","mono","black","32","None","None","w","legacy","1","wolf","1","1","stadium","C:/Users/yarbus/Desktop/Team Cat/visual-word-paradigm/trials/subject-1.csv","2000","legacy","Melodramatic Milgram","4.0.13","False","mono","black","32","None","380","Pause. Look at the fixation dot in order to continue.","30000","-480","480","-480","480","270","270","-270","-270","1000","0","2","legacy","At the stadium, the girl ran a marathon.","500","1024","2","3.3359999656677246","48000","-16","C:\Users\yarbus\AppData\Local\Temp\tmpg7y5i0u_.opensesame_pool\36_marathon.ogg","marathon","dishes","mouse","bust","marathon","dishes","mouse","bust","experiment","marathon","1","odd","2382","BL","182579.0","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","6176","127419","158500","434","158500","596","127419","149473","184707","NA","182529","557","168510","149497","148683","NA","178586","131465","149496","471","experiment-visual-word-paradigm","184579.0","ran","1389","wolf.mp4","1920"
"48_cigarette.ogg","white","legacy","True","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","legacy","legacy","motion","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\config.yml","0","0","2","0","2","0","0","2","2","0","2","0","2","2","2","0","2","0","2","0","33.792175908633","50","Fri Aug  9 14:34:52 2024","20","The main experiment item","False","4003.999948501587","131464","pygame-experiment-visual-world-paradigm.osexp","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm","black","0","0","medium-open","1000","False","mono","False","32","no","black","no","yes","1080","48","Look at the screen and listen carefully. press any key to continue","True","mono","black","32","None","None","w","legacy","1","wolf","2","2","terrace","C:/Users/yarbus/Desktop/Team Cat/visual-word-paradigm/trials/subject-1.csv","2000","legacy","Melodramatic Milgram","4.0.13","False","mono","black","32","None","380","Pause. Look at the fixation dot in order to continue.","30000","-480","480","-480","480","270","270","-270","-270","1000","0","2","legacy","On the terrace, the girl smoked a cigarette.","500","1024","2","3.503999948501587","48000","-16","C:\Users\yarbus\AppData\Local\Temp\tmpg7y5i0u_.opensesame_pool\48_cigarette.ogg","cigarette","bicycle","fishing","car","cigarette","bicycle","fishing","car","experiment","cigarette","1","odd","2273","BL","191282.0","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","6176","127419","184982","434","184982","596","127419","184919","197941","NA","191229","557","186011","184950","184719","NA","187110","131465","184942","471","experiment-visual-word-paradigm","193282.0","smoked","1546","wolf.mp4","1920"
"19_sandcastle.ogg","white","legacy","True","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","legacy","legacy","static","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\config.yml","0","0","3","0","3","0","0","3","3","0","3","0","3","3","3","0","3","0","3","0","46.72660164317539","50","Fri Aug  9 14:34:52 2024","20","The main experiment item","False","3476.0000705718994","131464","pygame-experiment-visual-world-paradigm.osexp","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm","black","0","0","medium-open","1000","False","mono","False","32","no","black","no","yes","1080","19","Look at the screen and listen carefully. press any key to continue","True","mono","black","32","None","None","w","legacy","1","wolf","3","3","beach","C:/Users/yarbus/Desktop/Team Cat/visual-word-paradigm/trials/subject-1.csv","2000","legacy","Melodramatic Milgram","4.0.13","False","mono","black","32","None","380","Pause. Look at the fixation dot in order to continue.","30000","-480","480","-480","480","270","270","-270","-270","1000","0","2","legacy","At the beach, the girl built a sandcastle.","500","1024","2","2.9760000705718994","48000","-16","C:\Users\yarbus\AppData\Local\Temp\tmpg7y5i0u_.opensesame_pool\19_sandcastle.ogg","meditation","dart","math","sandcastle","meditation","dart","math","sandcastle","experiment","sandcastle","1","odd","1787","TR","204389.0","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","6176","127419","198702","434","198702","596","127419","198577","206555","NA","204338","557","199746","198603","197957","NA","200807","131465","198602","471","experiment-visual-word-paradigm","206389.0","built","1169","wolf.mp4","1920"
"39_clothes.ogg","white","legacy","True","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","legacy","legacy","motion","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\config.yml","0","0","4","0","4","0","0","4","4","0","4","0","4","4","4","0","4","0","4","0","41.57446233254247","50","Fri Aug  9 14:34:52 2024","20","The main experiment item","False","4243.99995803833","131464","pygame-experiment-visual-world-paradigm.osexp","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm","black","0","0","medium-open","1000","False","mono","False","32","no","black","no","yes","1080","39","Look at the screen and listen carefully. press any key to continue","True","mono","black","32","None","None","w","legacy","1","wolf","4","4","laundromat","C:/Users/yarbus/Desktop/Team Cat/visual-word-paradigm/trials/subject-1.csv","2000","legacy","Melodramatic Milgram","4.0.13","False","mono","black","32","None","380","Pause. Look at the fixation dot in order to continue.","30000","-480","480","-480","480","270","270","-270","-270","1000","0","2","legacy","At the laundromat, the girl washed her clothes.","500","1024","2","3.74399995803833","48000","-16","C:\Users\yarbus\AppData\Local\Temp\tmpg7y5i0u_.opensesame_pool\39_clothes.ogg","clothes","bookshelf","horse","armchair","clothes","bookshelf","horse","armchair","experiment","clothes","1","odd","2812","BL","213378.0","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","6176","127419","206825","434","206825","596","127419","206760","215378","NA","213328","557","207862","206793","206568","NA","208954","131465","206783","471","experiment-visual-word-paradigm","215378.0","washed","2027","wolf.mp4","1920"
"21_kite.ogg","white","legacy","True","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","legacy","legacy","static","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\config.yml","0","0","5","0","5","0","0","5","5","0","5","0","5","5","5","0","5","0","5","0","16.581427702100978","50","Fri Aug  9 14:34:52 2024","20","The main experiment item","False","3884.000062942505","131464","pygame-experiment-visual-world-paradigm.osexp","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm","black","0","0","medium-open","1000","False","mono","False","32","no","black","no","yes","1080","21","Look at the screen and listen carefully. press any key to continue","True","mono","black","32","None","None","w","legacy","1","wolf","5","5","park","C:/Users/yarbus/Desktop/Team Cat/visual-word-paradigm/trials/subject-1.csv","2000","legacy","Melodramatic Milgram","4.0.13","False","mono","black","32","None","380","Pause. Look at the fixation dot in order to continue.","30000","-480","480","-480","480","270","270","-270","-270","1000","0","2","legacy","At the park, the girl flew a kite.","500","1024","2","3.384000062942505","48000","-16","C:\Users\yarbus\AppData\Local\Temp\tmpg7y5i0u_.opensesame_pool\21_kite.ogg","cake","pool","blood","kite","cake","pool","blood","kite","experiment","kite","1","odd","2440","TR","221720.0","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","6176","127419","215625","434","215625","596","127419","215566","223720","NA","221675","557","216672","215600","215390","NA","217741","131465","215589","471","experiment-visual-word-paradigm","223720.0","flew","1354","wolf.mp4","1920"
"64_cats.ogg","white","legacy","True","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","legacy","legacy","motion","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\config.yml","0","0","6","0","6","0","0","6","6","0","6","0","6","6","6","0","6","0","6","0","31.015119886919653","50","Fri Aug  9 14:34:52 2024","20","The main experiment item","False","4676.000118255615","131464","pygame-experiment-visual-world-paradigm.osexp","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm","black","0","0","medium-open","1000","False","mono","False","32","no","black","no","yes","1080","64","Look at the screen and listen carefully. press any key to continue","True","mono","black","32","None","None","w","legacy","1","wolf","6","6","pet store","C:/Users/yarbus/Desktop/Team Cat/visual-word-paradigm/trials/subject-1.csv","2000","legacy","Melodramatic Milgram","4.0.13","False","mono","black","32","None","380","Pause. Look at the fixation dot in order to continue.","30000","-480","480","-480","480","270","270","-270","-270","1000","0","2","legacy","At the pet store, the girl cuddled with adorable cats.","500","1024","2","4.176000118255615","48000","-16","C:\Users\yarbus\AppData\Local\Temp\tmpg7y5i0u_.opensesame_pool\64_cats.ogg","battery","cats","paperairplane","ceilingfan","battery","cats","paperairplane","ceilingfan","experiment","cats","1","odd","3384","BR","230909.0","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","6176","127419","223936","434","223937","596","127419","223882","232909","NA","230872","557","224982","223911","223731","NA","226126","131465","223910","471","experiment-visual-word-paradigm","232909.0","cuddled","1510","wolf.mp4","1920"
"40_shopping_cart.ogg","white","legacy","True","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","legacy","legacy","motion","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\config.yml","0","0","7","0","7","0","0","7","7","0","7","0","7","7","7","0","7","0","7","0","31.14120998805279","50","Fri Aug  9 14:34:52 2024","20","The main experiment item","False","4796.000003814697","131464","pygame-experiment-visual-world-paradigm.osexp","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm","black","0","0","medium-open","1000","False","mono","False","32","no","black","no","yes","1080","40","Look at the screen and listen carefully. press any key to continue","True","mono","black","32","None","None","w","legacy","1","wolf","7","7","grocery store","C:/Users/yarbus/Desktop/Team Cat/visual-word-paradigm/trials/subject-1.csv","2000","legacy","Melodramatic Milgram","4.0.13","False","mono","black","32","None","380","Pause. Look at the fixation dot in order to continue.","30000","-480","480","-480","480","270","270","-270","-270","1000","0","2","legacy","At the grocery store, the girl pushed the shopping cart","500","1024","2","4.296000003814697","48000","-16","C:\Users\yarbus\AppData\Local\Temp\tmpg7y5i0u_.opensesame_pool\40_shopping_cart.ogg","shoppingcart","nintendods","bulldozer","paperclip","shoppingcart","nintendods","bulldozer","paperclip","experiment","shoppingcart","1","odd","3355","BL","240251.0","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","6176","127419","233148","434","233148","596","127419","233093","242251","NA","240207","557","234194","233124","232922","NA","235301","131465","233116","471","experiment-visual-word-paradigm","242251.0","pushed","2390","wolf.mp4","1920"
"17_sofa.ogg","white","legacy","True","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","legacy","legacy","static","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\config.yml","0","0","8","0","8","0","0","8","8","0","8","0","8","8","8","0","8","0","8","0","19.50429401337052","50","Fri Aug  9 14:34:52 2024","20","The main experiment item","False","3956.0000896453857","131464","pygame-experiment-visual-world-paradigm.osexp","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm","black","0","0","medium-open","1000","False","mono","False","32","no","black","no","yes","1080","17","Look at the screen and listen carefully. press any key to continue","True","mono","black","32","None","None","w","legacy","1","wolf","8","8","living room","C:/Users/yarbus/Desktop/Team Cat/visual-word-paradigm/trials/subject-1.csv","2000","legacy","Melodramatic Milgram","4.0.13","False","mono","black","32","None","380","Pause. Look at the fixation dot in order to continue.","30000","-480","480","-480","480","270","270","-270","-270","1000","0","2","legacy","In the living room, the girl sat on a sofa. ","500","1024","2","3.4560000896453857","48000","-16","C:\Users\yarbus\AppData\Local\Temp\tmpg7y5i0u_.opensesame_pool\17_sofa.ogg","kite","egg","pencilsharpener","sofa","kite","egg","pencilsharpener","sofa","experiment","sofa","1","odd","2636","TR","248595.0","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","6176","127419","242453","434","242453","596","127419","242384","250595","NA","248555","557","243493","242419","242253","NA","244547","131465","242407","471","experiment-visual-word-paradigm","250595.0","sat","1619","wolf.mp4","1920"
"08_letter.ogg","white","legacy","True","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","legacy","legacy","static","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\config.yml","0","0","9","0","9","0","0","9","9","0","9","0","9","9","9","0","9","0","9","0","42.12598400227589","50","Fri Aug  9 14:34:52 2024","20","The main experiment item","False","3740.000009536743","131464","pygame-experiment-visual-world-paradigm.osexp","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm","black","0","0","medium-open","1000","False","mono","False","32","no","black","no","yes","1080","8","Look at the screen and listen carefully. press any key to continue","True","mono","black","32","None","None","w","legacy","1","wolf","9","9","desk","C:/Users/yarbus/Desktop/Team Cat/visual-word-paradigm/trials/subject-1.csv","2000","legacy","Melodramatic Milgram","4.0.13","False","mono","black","32","None","380","Pause. Look at the fixation dot in order to continue.","30000","-480","480","-480","480","270","270","-270","-270","1000","0","2","legacy","At her desk, the girl wrote a letter.","500","1024","2","3.240000009536743","48000","-16","C:\Users\yarbus\AppData\Local\Temp\tmpg7y5i0u_.opensesame_pool\08_letter.ogg","meditation","bracelet","letter","cactus","meditation","bracelet","letter","cactus","experiment","letter","1","odd","2530","TL","256831.0","C:\Users\yarbus\Desktop\Team Cat\visual-word-paradigm\temp","6176","127419","250859","434","250859","596","127419","250790","258831","NA","256783","557","251895","250830","250607","NA","252954","131465","250816","471","experiment-visual-word-paradigm","258831.0","wrote","1550","wolf.mp4","1920"
